1_ortho,2_phon,3_lemme,4_cgram,5_genre,6_nombre,9_freqfilms2,10_freqlivres,24_nbsyll
marocaines,maRokEn,marocain,ADJ,f,p,0.01,0.27,3
marocaines,maRokEn,marocain,NOM,f,p,0.14,0.07,3
marocains,maRok5,marocain,ADJ,m,p,0.01,1.08,3
marocains,maRok5,marocain,NOM,m,p,1.07,0.47,3
maronite,maRonit,maronite,ADJ,,s,0.0,0.14,3
maronites,maRonit,maronite,ADJ,m,p,0.0,0.07,3
maronites,maRonit,maronite,NOM,,p,0.0,0.14,3
maronner,maRone,maronner,VER,,,0.01,0.0,3
maronné,maRone,maronner,VER,m,s,0.0,0.07,3
maroquin,maRok5,maroquin,NOM,m,s,0.11,1.69,3
maroquinerie,maRokin°Ri,maroquinerie,NOM,f,s,0.05,1.01,5
maroquineries,maRokin°Ri,maroquinerie,NOM,f,p,0.0,0.14,5
maroquinier,maRokinje,maroquinier,NOM,m,s,0.01,0.47,4
maroquiniers,maRokinje,maroquinier,NOM,m,p,0.0,0.14,4
maroquins,maRok5,maroquin,NOM,m,p,0.0,0.07,3
marotte,maROt,marotte,NOM,f,s,0.2,1.55,2
marottes,maROt,marotte,NOM,f,p,0.05,0.54,2
marouette,maRwEt,marouette,NOM,f,s,0.01,0.0,2
maroufle,maRufl,maroufle,NOM,f,s,0.14,0.27,2
maroufler,maRufle,maroufler,VER,,,0.0,0.07,3
maroufles,maRufl,maroufle,NOM,f,p,0.0,0.14,2
marqua,maRka,marquer,VER,,,0.32,8.04,2
marquage,maRkaZ,marquage,NOM,m,s,0.65,0.14,2
marquai,maRkE,marquer,VER,,,0.0,0.74,2
marquaient,maRkE,marquer,VER,,,0.12,4.39,2
marquais,maRkE,marquer,VER,,,0.06,0.41,2
marquait,maRkE,marquer,VER,,,0.56,12.03,2
marquant,maRk@,marquant,ADJ,m,s,0.22,0.68,2
marquant,maRk@,marquer,VER,,,0.3,5.2,2
marquante,maRk@t,marquant,ADJ,f,s,0.04,0.14,2
marquantes,maRk@t,marquant,ADJ,f,p,0.01,0.07,2
marquants,maRk@,marquant,ADJ,m,p,0.29,0.61,2
marque,maRk,marque,NOM,f,s,23.91,26.89,1
marque,maRk,marquer,VER,,,8.3,10.88,1
marque-page,maRk°paZ,marque-page,NOM,m,s,0.24,0.07,3
marque-pages,maRk°paZ,marque-page,NOM,m,p,0.01,0.07,3
marquent,maRk,marquer,VER,,,0.86,2.77,1
marquer,maRke,marquer,VER,,,7.69,16.82,2
marquera,maRk°Ra,marquer,VER,,,0.85,0.74,3
marquerai,maRk°RE,marquer,VER,,,0.42,0.07,3
marqueraient,maRk°RE,marquer,VER,,,0.11,0.14,3
marquerait,maRk°RE,marquer,VER,,,0.07,0.47,3
marqueras,maRk°Ra,marquer,VER,,,0.03,0.07,3
marquerez,maRk°Re,marquer,VER,,,0.01,0.14,3
marquerons,maRk°R§,marquer,VER,,,0.01,0.0,3
marqueront,maRk°R§,marquer,VER,,,0.08,0.14,3
marques,maRk,marque,NOM,f,p,16.39,10.81,1
marques,maRk,marquer,VER,,,0.83,0.14,1
marqueterie,maRkEt°Ri,marqueterie,NOM,f,s,0.11,1.62,4
marqueteries,maRkEt°Ri,marqueterie,NOM,f,p,0.0,0.47,4
marquette,maRkEt,marqueter,VER,,,0.01,0.07,2
marqueté,maRk°te,marqueter,VER,m,s,0.01,0.07,3
marquetées,maRk°te,marqueter,VER,f,p,0.0,0.07,3
marquetés,maRk°te,marqueter,VER,m,p,0.0,0.07,3
marqueur,maRk9R,marqueur,NOM,m,s,1.25,0.47,2
marqueurs,maRk9R,marqueur,NOM,m,p,0.77,0.0,2
marquez,maRke,marquer,VER,,,1.98,0.41,2
marquiez,maRkje,marquer,VER,,,0.28,0.07,2
marquions,maRkj§,marquer,VER,,,0.0,0.07,2
marquis,maRki,marquis,NOM,m,,14.98,9.86,2
marquisat,maRkiza,marquisat,NOM,m,s,0.0,0.2,3
marquisats,maRkiza,marquisat,NOM,m,p,0.0,0.07,3
marquise,maRkiz,marquis,NOM,f,s,1.64,7.36,2
marquises,maRkiz,marquis,NOM,f,p,0.07,1.08,2
marquisien,maRkizj5,marquisien,ADJ,m,s,0.0,0.07,3
marquisiens,maRkizj5,marquisien,ADJ,m,p,0.0,0.14,3
marquons,maRk§,marquer,VER,,,0.04,0.14,2
marquât,maRka,marquer,VER,,,0.0,0.41,2
marquèrent,maRkER,marquer,VER,,,0.01,0.68,2
marqué,maRke,marquer,VER,m,s,15.81,20.07,2
marqué,maRke,marqué,ADJ,m,s,1.55,2.36,2
marquée,maRke,marquer,VER,f,s,2.84,9.26,2
marquée,maRke,marqué,ADJ,f,s,0.59,2.5,2
marquées,maRke,marquer,VER,f,p,0.51,2.5,2
marquées,maRke,marqué,ADJ,f,p,0.12,1.08,2
marqués,maRke,marquer,VER,m,p,1.68,4.32,2
marqués,maRke,marqué,ADJ,m,p,0.78,1.35,2
marra,maRa,marrer,VER,,,0.1,0.34,2
marrade,maRad,marrade,NOM,f,s,0.01,0.68,2
marraient,maRE,marrer,VER,,,0.14,0.54,2
marraine,maREn,marraine,NOM,f,s,2.52,8.38,2
marraines,maREn,marraine,NOM,f,p,0.22,0.41,2
marrais,maRE,marrer,VER,,,0.14,0.34,2
marrait,maRE,marrer,VER,,,0.27,2.3,2
marrane,maRan,marrane,NOM,m,s,0.0,0.14,2
marranes,maRan,marrane,NOM,m,p,0.0,0.14,2
marrant,maR@,marrant,ADJ,m,s,30.41,9.19,2
marrant,maR@,marrant,NOM,m,s,7.29,3.78,2
marrant,maR@,marrer,VER,,,1.88,2.36,2
marrante,maR@t,marrant,ADJ,f,s,3.15,1.42,2
marrante,maR@t,marrant,NOM,f,s,0.71,0.2,2
marrantes,maR@t,marrant,ADJ,f,p,0.81,0.54,2
marrantes,maR@t,marrant,NOM,f,p,0.02,0.0,2
marrants,maR@,marrant,ADJ,m,p,1.33,1.22,2
marrants,maR@,marrant,NOM,m,p,0.1,0.07,2
marre,maR,marre,ADV,,,57.48,20.68,1
marre,maR,marrer,VER,,,3.66,8.99,1
marrent,maR,marrer,VER,,,0.54,1.76,1
marrer,maRe,marrer,VER,,,6.45,12.5,2
marrera,maR°Ra,marrer,VER,,,0.22,0.07,3
marrerais,maR°RE,marrer,VER,,,0.02,0.07,3
marrerait,maR°RE,marrer,VER,,,0.0,0.14,3
marres,maR,marrer,VER,,,1.12,0.34,1
marrez,maRe,marrer,VER,,,0.47,0.41,2
marri,maRi,marri,ADJ,m,s,0.03,0.41,2
marrie,maRi,marri,ADJ,f,s,0.45,0.0,2
marrions,maRj§,marrer,VER,,,0.05,0.0,2
marris,maRi,marri,ADJ,m,p,0.04,0.0,2
marron,maR§,marron,ADJ,,,5.33,13.72,2
marron,maR§,marron,NOM,m,s,2.09,3.45,2
marronnais,maRonE,marronner,VER,,,0.0,0.07,3
marronnasse,maRonas,marronnasse,ADJ,,s,0.0,0.07,3
marronner,maRone,marronner,VER,,,0.0,0.2,3
marronnera,maROn°Ra,marronner,VER,,,0.0,0.07,4
marronnier,maRonje,marronnier,NOM,m,s,0.46,2.57,3
marronniers,maRonje,marronnier,NOM,m,p,0.15,6.82,3
marronné,maRone,marronner,VER,m,s,0.0,0.07,3
marrons,maR§,marrer,VER,,,0.01,0.0,2
marrons,maR§,marron,NOM,m,p,2.8,3.92,2
marré,maRe,marrer,VER,m,s,0.72,1.76,2
marrée,maRe,marrer,VER,f,s,0.15,0.07,2
marrés,maRe,marrer,VER,m,p,0.18,0.61,2
mars,maRs,mars,NOM,m,,9.75,31.42,1
marsala,maRsala,marsala,NOM,m,s,0.38,0.14,3
marsaules,maRsol,marsaule,NOM,m,p,0.0,0.27,2
marseillais,maRsEjE,marseillais,ADJ,m,,1.22,0.88,3
marseillais,maRsEjE,marseillais,NOM,m,,1.27,0.81,3
marseillaise,maRsEjEz,marseillais,ADJ,f,s,0.0,0.14,3
marseillaise,maRsEjEz,marseillais,NOM,f,s,0.0,1.01,3
marseillaises,maRsEjEz,marseillais,ADJ,f,p,0.0,0.34,3
marshal,maRSal,marshal,NOM,m,s,2.74,0.0,2
marshals,maRSal,marshal,NOM,m,p,0.37,0.0,2
marsouin,maRsw5,marsouin,NOM,m,s,0.08,0.47,2
marsouins,maRsw5,marsouin,NOM,m,p,0.03,0.2,2
marsupial,maRsypjal,marsupial,NOM,m,s,0.04,0.0,3
marsupiaux,maRsypjo,marsupial,ADJ,m,p,0.01,0.0,3
marsupiaux,maRsypjo,marsupial,NOM,m,p,0.06,0.0,3
marsupilami,maRsypilami,marsupilami,NOM,m,s,0.0,0.14,5
marsupilamis,maRsypilami,marsupilami,NOM,m,p,0.0,0.07,5
martagon,maRtag§,martagon,NOM,m,s,0.0,0.07,3
marteau,maRto,marteau,NOM,m,s,11.84,13.31,2
marteau-pilon,maRtopil§,marteau-pilon,NOM,m,s,0.07,0.34,4
marteau-piqueur,maRtopik9R,marteau-piqueur,NOM,m,s,0.42,0.07,4
marteaux,maRto,marteau,NOM,m,p,0.79,2.3,2
marteaux-pilons,maRtopil§,marteau-pilon,NOM,m,p,0.0,0.07,4
martel,maRtEl,martel,NOM,m,s,0.05,0.34,2
martela,maRt°la,marteler,VER,,,0.0,0.68,3
martelage,maRt°laZ,martelage,NOM,m,s,0.0,0.14,3
martelai,maRt°lE,marteler,VER,,,0.0,0.07,3
martelaient,maRt°lE,marteler,VER,,,0.02,0.74,3
martelait,maRt°lE,marteler,VER,,,0.01,1.15,3
martelant,maRt°l@,marteler,VER,,,0.29,2.3,3
marteler,maRt°le,marteler,VER,,,0.41,1.35,3
martelet,maRt°lE,martelet,NOM,m,s,0.0,0.07,3
marteleur,maRt°l9R,marteleur,NOM,m,s,0.04,0.0,3
martelez,maRt°le,marteler,VER,,,0.01,0.0,3
martels,maRtEl,martel,NOM,m,p,0.0,0.14,2
martelèrent,maRt°lER,marteler,VER,,,0.0,0.07,3
martelé,maRt°le,marteler,VER,m,s,0.16,1.42,3
martelée,maRt°le,marteler,VER,f,s,0.02,0.54,3
martelées,maRt°le,marteler,VER,f,p,0.0,0.27,3
martelés,maRt°le,marteler,VER,m,p,0.0,0.47,3
martial,maRsjal,martial,ADJ,m,s,0.85,1.76,2
martiale,maRsjal,martial,ADJ,f,s,5.63,1.22,2
martiales,maRsjal,martial,ADJ,f,p,0.01,0.34,2
martialités,maRsjalite,martialité,NOM,f,p,0.0,0.07,4
martiaux,maRsjo,martial,ADJ,m,p,1.53,0.95,2
martien,maRsj5,martien,ADJ,m,s,0.36,0.14,2
martien,maRsj5,martien,NOM,m,s,0.59,0.61,2
martienne,maRsjEn,martien,ADJ,f,s,0.23,0.07,2
martienne,maRsjEn,martienne,NOM,f,s,0.35,0.27,2
martiennes,maRsjEn,martien,ADJ,f,p,0.03,0.0,2
martiennes,maRsjEn,martienne,NOM,f,p,0.16,0.07,2
martiens,maRsj5,martien,ADJ,m,p,0.08,0.14,2
martiens,maRsj5,martien,NOM,m,p,1.37,0.88,2
martin,maRt5,martin,NOM,m,s,0.08,0.0,2
martin-pêcheur,maRt5pES9R,martin-pêcheur,NOM,m,s,0.01,0.27,4
martine,maRtin,martiner,VER,,,0.0,0.14,2
martinet,maRtinE,martinet,NOM,m,s,0.24,1.15,3
martinets,maRtinE,martinet,NOM,m,p,0.02,1.49,3
martinez,maRtine,martiner,VER,,,2.56,0.34,3
martingale,maRt5gal,martingale,NOM,f,s,0.12,1.08,3
martingales,maRt5gal,martingale,NOM,f,p,0.0,0.2,3
martini,maRtini,martini,NOM,m,s,2.76,1.89,3
martiniquais,maRtinikE,martiniquais,ADJ,m,s,0.0,0.27,4
martiniquais,maRtinikE,martiniquais,NOM,m,,0.02,0.68,4
martiniquaise,maRtinikEz,martiniquais,ADJ,f,s,0.0,0.27,4
martiniquaise,maRtinikEz,martiniquais,NOM,f,s,0.01,0.95,4
martiniquaises,maRtinikEz,martiniquais,NOM,f,p,0.0,0.07,4
martinis,maRtini,martini,NOM,m,p,1.09,0.34,3
martins,maRt5,martin,NOM,m,p,1.62,0.07,2
martins-pêcheurs,maRt5pES9R,martin-pêcheur,NOM,m,p,0.01,0.14,4
martre,maRtR,martre,NOM,f,s,0.16,1.01,1
martres,maRtR,martre,NOM,f,p,0.37,0.2,1
martyr,maRtiR,martyr,ADJ,m,s,0.76,1.22,2
martyr,maRtiR,martyr,NOM,m,s,3.68,3.24,2
martyre,maRtiR,martyr,ADJ,f,s,0.23,0.68,2
martyre,maRtiR,martyre,NOM,,s,3.32,6.08,2
martyres,maRtiR,martyr,ADJ,f,p,0.11,0.0,2
martyres,maRtiR,martyre,NOM,,p,0.42,0.27,2
martyrisaient,maRtiRizE,martyriser,VER,,,0.0,0.07,4
martyrisait,maRtiRizE,martyriser,VER,,,0.01,0.47,4
martyrisant,maRtiRiz@,martyriser,VER,,,0.0,0.14,4
martyrise,maRtiRiz,martyriser,VER,,,0.24,0.07,3
martyrisent,maRtiRiz,martyriser,VER,,,0.02,0.07,3
martyriser,maRtiRize,martyriser,VER,,,0.22,0.74,4
martyriserait,maRtiRiz°RE,martyriser,VER,,,0.01,0.0,5
martyrisé,maRtiRize,martyriser,VER,m,s,0.24,0.68,4
martyrisée,maRtiRize,martyriser,VER,f,s,0.04,0.74,4
martyrisées,maRtiRize,martyriser,VER,f,p,0.01,0.07,4
martyrisés,maRtiRize,martyriser,VER,m,p,0.15,0.34,4
martyrologe,maRtiRolOZ,martyrologe,NOM,m,s,0.0,0.14,4
martyrologes,maRtiRolOZ,martyrologe,NOM,m,p,0.0,0.07,4
martyrs,maRtiR,martyr,ADJ,m,p,0.1,0.27,2
martyrs,maRtiR,martyr,NOM,m,p,1.82,3.51,2
martèle,maRtEl,marteler,VER,,,0.21,0.95,2
martèlement,maRtEl°m@,martèlement,NOM,m,s,0.41,3.51,4
martèlements,maRtEl°m@,martèlement,NOM,m,p,0.02,0.14,4
martèlent,maRtEl,marteler,VER,,,0.32,0.27,2
martèlera,maRtEl°Ra,marteler,VER,,,0.0,0.14,4
marxisme,maRksizm,marxisme,NOM,m,s,0.94,3.92,2
marxisme-léninisme,maRksizm°leninizm,marxisme-léninisme,NOM,m,s,0.5,0.68,6
marxiste,maRksist,marxiste,ADJ,,s,0.67,2.36,2
marxiste,maRksist,marxiste,NOM,,s,0.16,0.41,2
marxiste-léniniste,maRksist°leninist,marxiste-léniniste,ADJ,,s,0.27,0.41,6
marxiste-léniniste,maRksist°leninist,marxiste-léniniste,NOM,,s,0.0,0.07,6
marxistes,maRksist,marxiste,ADJ,,p,0.24,0.47,2
marxistes,maRksist,marxiste,NOM,,p,0.19,0.81,2
marxistes-léninistes,maRksist°leninist,marxiste-léniniste,ADJ,,p,0.14,0.0,6
marxistes-léninistes,maRksist°leninist,marxiste-léniniste,NOM,,p,0.0,0.07,6
mary,maRi,mary,NOM,m,s,0.56,0.2,2
maryland,maRil@d,maryland,NOM,m,s,0.04,0.14,3
marâtre,maRatR,marâtre,NOM,f,s,0.37,1.08,2
marâtres,maRatR,marâtre,NOM,f,p,0.01,0.14,2
marécage,maRekaZ,marécage,NOM,m,s,2.31,2.77,3
marécages,maRekaZ,marécage,NOM,m,p,0.87,3.38,3
marécageuse,maRekaZ2z,marécageux,ADJ,f,s,0.02,0.41,4
marécageuses,maRekaZ2z,marécageux,ADJ,f,p,0.01,0.34,4
marécageux,maRekaZ2,marécageux,ADJ,m,,0.44,0.88,4
maréchal,maReSal,maréchal,NOM,m,s,2.67,38.24,3
maréchal-ferrant,maReSalfER@,maréchal-ferrant,NOM,m,s,0.22,1.96,5
maréchalat,maReSala,maréchalat,NOM,m,s,0.0,0.07,4
maréchale,maReSal,maréchal,NOM,f,s,0.14,0.07,3
maréchalerie,maReSal°Ri,maréchalerie,NOM,f,s,0.0,0.27,5
maréchalistes,maReSalist,maréchaliste,NOM,,p,0.0,0.07,4
maréchaussée,maReSose,maréchaussée,NOM,f,s,0.0,0.88,4
maréchaux,maReSo,maréchal,NOM,m,p,0.04,3.38,3
maréchaux-ferrants,maReSofER@,maréchaux-ferrants,NOM,m,p,0.0,0.41,5
marée,maRe,marée,NOM,f,s,5.21,21.28,2
marées,maRe,marée,NOM,f,p,1.1,5.61,2
marémotrice,maRemotRis,marémoteur,ADJ,f,s,0.01,0.0,4
mas,ma,mas,NOM,m,,2.21,5.07,1
masaï,masaj,masaï,ADJ,,s,0.01,0.68,2
masaï,masaj,masaï,NOM,,s,0.01,3.99,2
mascara,maskaRa,mascara,NOM,m,s,1.15,0.47,3
mascarade,maskaRad,mascarade,NOM,f,s,2.58,1.76,3
mascarades,maskaRad,mascarade,NOM,f,p,0.13,0.27,3
mascaret,maskaRE,mascaret,NOM,m,s,0.0,0.54,3
mascaron,maskaR§,mascaron,NOM,m,s,0.0,0.07,3
mascarons,maskaR§,mascaron,NOM,m,p,0.0,0.07,3
mascarpone,maskaRpOn,mascarpone,NOM,m,s,0.11,0.0,3
mascotte,maskOt,mascotte,NOM,f,s,1.91,0.74,2
mascottes,maskOt,mascotte,NOM,f,p,0.45,0.14,2
masculin,maskyl5,masculin,ADJ,m,s,4.49,4.05,3
masculin,maskyl5,masculin,NOM,m,s,0.91,0.95,3
masculine,maskylin,masculin,ADJ,f,s,2.66,3.92,3
masculines,maskylin,masculin,ADJ,f,p,0.4,0.95,3
masculiniser,maskylinize,masculiniser,VER,,,0.01,0.0,5
masculinisée,maskylinize,masculiniser,VER,f,s,0.01,0.07,5
masculinité,maskylinite,masculinité,NOM,f,s,0.21,0.0,5
masculins,maskyl5,masculin,ADJ,m,p,0.59,1.22,3
masculins,maskyl5,masculin,NOM,m,p,0.0,0.14,3
maser,mazER,maser,NOM,m,s,0.01,0.0,2
maskinongé,maskin§Ze,maskinongé,NOM,m,s,0.0,0.07,4
maso,mazo,maso,ADJ,m,s,0.21,0.88,2
maso,mazo,maso,NOM,,s,0.24,0.34,2
masochisme,mazoSizm,masochisme,NOM,m,s,0.42,1.01,3
masochiste,mazoSist,masochiste,ADJ,,s,0.3,0.68,3
masochiste,mazoSist,masochiste,NOM,,s,0.25,0.41,3
masochistes,mazoSist,masochiste,ADJ,,p,0.03,0.14,3
masochistes,mazoSist,masochiste,NOM,,p,0.04,0.07,3
masos,mazo,maso,ADJ,,p,0.15,0.0,2
masos,mazo,maso,NOM,,p,0.14,0.0,2
masqua,maska,masquer,VER,,,0.01,0.27,2
masquage,maskaZ,masquage,NOM,m,s,0.01,0.0,2
masquages,maskaZ,masquage,NOM,m,p,0.01,0.0,2
masquaient,maskE,masquer,VER,,,0.04,1.22,2
masquait,maskE,masquer,VER,,,0.08,3.11,2
masquant,mask@,masquer,VER,,,0.05,1.82,2
masque,mask,masque,NOM,m,s,23.16,28.45,1
masque,mask,masquer,VER,,,0.5,2.23,1
masque-espion,maskEspj§,masque-espion,NOM,m,s,0.01,0.0,3
masquent,mask,masquer,VER,,,0.09,0.68,1
masquer,maske,masquer,VER,,,1.39,4.32,2
masqueraient,mask°RE,masquer,VER,,,0.0,0.07,3
masques,mask,masque,NOM,m,p,6.02,10.2,1
masques,mask,masquer,VER,,,0.01,0.07,1
masquons,mask§,masquer,VER,,,0.03,0.0,2
masqué,maske,masquer,VER,m,s,1.14,2.03,2
masqué,maske,masqué,ADJ,m,s,2.42,1.69,2
masquée,maske,masquer,VER,f,s,0.15,1.42,2
masquée,maske,masqué,ADJ,f,s,0.1,0.95,2
masquées,maske,masquer,VER,f,p,0.02,0.47,2
masquées,maske,masqué,ADJ,f,p,0.01,0.54,2
masqués,maske,masquer,VER,m,p,0.25,1.42,2
masqués,maske,masqué,ADJ,m,p,0.73,0.68,2
mass media,masmedja,mass media,NOM,m,p,0.17,0.07,3
massa,masa,masser,VER,,,0.0,1.28,2
massacra,masakRa,massacrer,VER,,,0.05,0.14,3
massacraient,masakRE,massacrer,VER,,,0.01,0.47,3
massacrais,masakRE,massacrer,VER,,,0.01,0.0,3
massacrait,masakRE,massacrer,VER,,,0.05,0.74,3
massacrant,masakR@,massacrant,ADJ,m,s,0.05,0.0,3
massacrant,masakR@,massacrer,VER,,,0.33,0.47,3
massacrante,masakR@t,massacrant,ADJ,f,s,0.4,0.34,3
massacre,masakR,massacre,NOM,m,s,11.71,10.27,2
massacre,masakR,massacrer,VER,,,2.67,0.74,2
massacrent,masakR,massacrer,VER,,,0.36,0.2,2
massacrer,masakRe,massacrer,VER,,,5.73,4.12,3
massacrera,masakR°Ra,massacrer,VER,,,0.27,0.07,4
massacrerai,masakR°RE,massacrer,VER,,,0.03,0.07,4
massacreraient,masakR°RE,massacrer,VER,,,0.01,0.2,4
massacrerait,masakR°RE,massacrer,VER,,,0.0,0.14,4
massacrerons,masakR°R§,massacrer,VER,,,0.16,0.0,4
massacreront,masakR°R§,massacrer,VER,,,0.08,0.07,4
massacres,masakR,massacre,NOM,m,p,2.0,6.22,2
massacres,masakR,massacrer,VER,,,0.2,0.14,2
massacreur,masakR9R,massacreur,NOM,m,s,0.06,0.2,3
massacreurs,masakR9R,massacreur,NOM,m,p,0.0,0.14,3
massacrez,masakRe,massacrer,VER,,,0.57,0.07,3
massacrons,masakR§,massacrer,VER,,,0.2,0.0,3
massacrât,masakRa,massacrer,VER,,,0.0,0.07,3
massacrèrent,masakRER,massacrer,VER,,,0.16,0.2,3
massacré,masakRe,massacrer,VER,m,s,3.17,2.7,3
massacrée,masakRe,massacrer,VER,f,s,0.81,0.81,3
massacrées,masakRe,massacrer,VER,f,p,0.09,0.2,3
massacrés,masakRe,massacrer,VER,m,p,1.92,3.04,3
massage,masaZ,massage,NOM,m,s,7.76,2.23,2
massages,masaZ,massage,NOM,m,p,1.81,0.95,2
massaient,masE,masser,VER,,,0.0,0.27,2
massais,masE,masser,VER,,,0.08,0.0,2
massait,masE,masser,VER,,,0.02,1.01,2
massant,mas@,masser,VER,,,0.04,0.68,2
masse,mas,masse,NOM,f,s,11.64,60.54,1
masse,mas,masser,VER,,,1.25,2.03,1
massent,mas,masser,VER,,,0.01,0.41,1
massepain,masp5,massepain,NOM,m,s,0.17,0.0,2
massepains,masp5,massepain,NOM,m,p,0.12,0.34,2
masser,mase,masser,VER,,,2.98,2.09,2
massera,mas°Ra,masser,VER,,,0.21,0.0,3
masserai,mas°RE,masser,VER,,,0.05,0.0,3
masseraient,mas°RE,masser,VER,,,0.0,0.07,3
masserais,mas°RE,masser,VER,,,0.01,0.0,3
masseras,mas°Ra,masser,VER,,,0.02,0.0,3
masserez,mas°Re,masser,VER,,,0.01,0.0,3
masses,mas,masse,NOM,f,p,5.09,19.26,1
masses,mas,masser,VER,,,0.21,0.07,1
massettes,masEt,massette,NOM,f,p,0.0,0.14,2
masseur,mas9R,masseur,NOM,m,s,0.7,1.15,2
masseurs,mas9R,masseur,NOM,m,p,0.06,0.14,2
masseuse,mas2z,masseur,NOM,f,s,1.12,0.27,2
masseuses,mas2z,masseur,NOM,f,p,0.05,0.14,2
massez,mase,masser,VER,,,0.21,0.0,2
massicot,masiko,massicot,NOM,m,s,0.1,0.54,3
massicoter,masikote,massicoter,VER,,,0.0,0.07,4
massicotier,masikotje,massicotier,NOM,m,s,0.0,0.41,4
massicots,masiko,massicot,NOM,m,p,0.1,0.07,3
massicoté,masikote,massicoter,VER,m,s,0.0,0.07,4
massif,masif,massif,ADJ,m,s,2.52,8.92,2
massif,masif,massif,NOM,m,s,0.47,7.64,2
massifs,masif,massif,ADJ,m,p,0.4,2.03,2
massifs,masif,massif,NOM,m,p,0.2,4.59,2
massive,masiv,massif,ADJ,f,s,3.68,8.38,2
massivement,masiv°m@,massivement,ADV,,,0.21,1.01,4
massives,masiv,massif,ADJ,f,p,0.55,2.97,2
massivité,masivite,massivité,NOM,f,s,0.0,0.2,4
massue,masy,massue,NOM,f,s,0.57,2.3,2
massues,masy,massue,NOM,f,p,0.14,0.54,2
massèrent,masER,masser,VER,,,0.0,0.14,2
massé,mase,masser,VER,m,s,0.4,1.01,2
massé,mase,massé,NOM,m,s,0.02,0.0,2
massée,mase,masser,VER,f,s,0.11,1.62,2
massées,mase,masser,VER,f,p,0.03,0.47,2
massés,mase,masser,VER,m,p,0.05,1.69,2
massés,mase,massé,NOM,m,p,0.01,0.2,2
mastaba,mastaba,mastaba,NOM,m,s,0.01,0.14,3
mastabas,mastaba,mastaba,NOM,m,p,0.0,0.07,3
mastar,mastaR,mastar,ADJ,m,s,0.0,0.07,2
mastar,mastaR,mastar,NOM,m,s,0.02,0.07,2
mastard,mastaR,mastard,ADJ,m,s,0.8,0.74,2
mastard,mastaR,mastard,NOM,m,s,0.28,0.47,2
mastards,mastaR,mastard,ADJ,m,p,0.0,0.14,2
mastards,mastaR,mastard,NOM,m,p,0.0,0.14,2
mastectomie,mastEktomi,mastectomie,NOM,f,s,0.22,0.0,4
master,mast9R,master,NOM,m,s,1.41,0.07,2
masters,mast9R,master,NOM,m,p,2.02,0.0,2
mastic,mastik,mastic,ADJ,,,0.07,0.88,2
mastic,mastik,mastic,NOM,m,s,0.26,1.62,2
masticage,mastikaZ,masticage,NOM,m,s,0.0,0.07,3
masticateurs,mastikat9R,masticateur,ADJ,m,p,0.01,0.07,4
mastication,mastikasj§,mastication,NOM,f,s,0.16,0.74,4
mastications,mastikasj§,mastication,NOM,f,p,0.0,0.07,4
mastiff,mastif,mastiff,NOM,m,s,0.02,0.07,2
mastiqua,mastika,mastiquer,VER,,,0.0,0.14,3
mastiquaient,mastikE,mastiquer,VER,,,0.0,0.14,3
mastiquais,mastikE,mastiquer,VER,,,0.0,0.07,3
mastiquait,mastikE,mastiquer,VER,,,0.01,0.81,3
mastiquant,mastik@,mastiquer,VER,,,0.0,0.81,3
mastique,mastik,mastiquer,VER,,,0.1,0.61,2
mastiquent,mastik,mastiquer,VER,,,0.01,0.07,2
mastiquer,mastike,mastiquer,VER,,,0.14,1.35,3
mastiquez,mastike,mastiquer,VER,,,0.01,0.07,3
mastiquons,mastik§,mastiquer,VER,,,0.0,0.07,3
mastiqué,mastike,mastiquer,VER,m,s,0.04,0.14,3
mastiqués,mastike,mastiquer,VER,m,p,0.01,0.07,3
mastite,mastit,mastite,NOM,f,s,0.12,0.0,2
mastoc,mastOk,mastoc,ADJ,,s,1.28,0.68,2
mastodonte,mastod§t,mastodonte,NOM,m,s,0.13,0.47,3
mastodontes,mastod§t,mastodonte,NOM,m,p,0.04,0.14,3
mastoïde,mastoid,mastoïde,ADJ,,s,0.93,0.07,3
mastroquet,mastRokE,mastroquet,NOM,m,s,0.14,0.2,3
mastroquets,mastRokE,mastroquet,NOM,m,p,0.01,0.14,3
masturbais,mastyRbE,masturber,VER,,,0.08,0.0,3
masturbait,mastyRbE,masturber,VER,,,0.44,0.2,3
masturbant,mastyRb@,masturber,VER,,,0.43,0.2,3
masturbateur,mastyRbat9R,masturbateur,ADJ,m,s,0.06,0.0,4
masturbation,mastyRbasj§,masturbation,NOM,f,s,1.57,1.89,4
masturbations,mastyRbasj§,masturbation,NOM,f,p,0.0,0.14,4
masturbatoire,mastyRbatwaR,masturbatoire,ADJ,m,s,0.02,0.14,4
masturbatoires,mastyRbatwaR,masturbatoire,ADJ,,p,0.03,0.0,4
masturbe,mastyRb,masturber,VER,,,1.02,0.54,2
masturbent,mastyRb,masturber,VER,,,0.19,0.14,2
masturber,mastyRbe,masturber,VER,,,1.16,0.47,3
masturberas,mastyRb°Ra,masturber,VER,,,0.01,0.0,4
masturbez,mastyRbe,masturber,VER,,,0.04,0.0,3
masturbé,mastyRbe,masturber,VER,m,s,0.18,0.07,3
masturbée,mastyRbe,masturber,VER,f,s,0.34,0.0,3
masturbés,mastyRbe,masturber,VER,m,p,0.01,0.07,3
mastère,mastER,mastère,NOM,m,s,0.02,0.0,2
